original_row_num,url,crawl_time,crawl_status,error_msg,api,package,language,deprecated_in,removed_in,replaced_by,change_type,reason,source
5,https://react.dev/reference/react-dom/prefetchDNS,2025-10-21 15:34:39,success,,prefetchDNS,react-dom,JavaScript,,,,,,https://react.dev/reference/react-dom/prefetchDNS
4,https://react.dev/reference/react-dom/preconnect,2025-10-21 15:34:39,success,,preconnect,react-dom,JavaScript,,,,,,https://react.dev/docs/preconnect
9,https://react.dev/reference/react-dom/preloadModule,2025-10-21 15:34:39,success,,preloadModule,react-dom,JavaScript,,,,,,https://example.com/react-docs
8,https://react.dev/reference/react-dom/preload,2025-10-21 15:34:39,success,,preload,react-dom,JavaScript,,,,,,https://react.dev/reference/react-dom/preload
7,https://react.dev/reference/react-dom/preinitModule,2025-10-21 15:34:39,success,,preinitModule,react-dom,JavaScript,,,,,,https://react.dev/docs/preinitModule
2,https://react.dev/reference/react-dom/createPortal,2025-10-21 15:34:39,success,,createPortal,react-dom,JavaScript,,,,,,https://react.dev/reference/react-dom/createPortal
6,https://react.dev/reference/react-dom/preinit,2025-10-21 15:34:39,success,,preinit,react-dom,JavaScript,,,,,,https://react.dev/docs/react-dom/preinit
3,https://react.dev/reference/react-dom/flushSync,2025-10-21 15:34:39,success,,flushSync,react-dom,JavaScript,,,,,,https://reactjs.org/docs/react-dom.html#flushsync
10,https://react.dev/reference/react-dom/client/createRoot,2025-10-21 15:34:47,success,,createRoot,react-dom,JavaScript,,,hydrateRoot for server-rendered apps,Behavior Change,To handle server-rendered HTML more efficiently and prevent unnecessary DOM manipulation,https://react.dev/reference/react-dom/client#createRoot
11,https://react.dev/reference/react-dom/client/hydrateRoot,2025-10-21 15:34:47,success,,hydrateRoot,react-dom,JavaScript,,,,,,https://reactjs.org/docs/react-dom-client.html#hydrateroot
14,https://react.dev/reference/react-dom/server/renderToStaticMarkup,2025-10-21 15:34:48,success,,renderToStaticMarkup,react-dom,JavaScript,,,,Behavior Change,"Limited Suspense support, inability to hydrate non-interactive HTML, primarily recommended for static content generation",https://react.dev/docs/react-dom-server#rendertostaticmarkup
15,https://react.dev/reference/react-dom/server/renderToString,2025-10-21 15:34:48,success,,renderToString,react-dom,JavaScript,,,"renderToPipeableStream, renderToReadableStream",API Deprecation,"renderToString does not support streaming or waiting for data, making it unsuitable for scenarios requiring progressive rendering or a fully resolved static HTML output.",https://reactjs.org/docs/react-dom-server.html#rendertostring
13,https://react.dev/reference/react-dom/server/renderToPipeableStream,2025-10-21 15:34:48,success,,renderToPipeableStream,react-dom,JavaScript,,,renderToReadableStream,Behavior Change,"React recommends using Web Streams for modern environments like Deno and edge runtimes rather than Node.js Streams, as Web Streams provide better integration in these environments.",https://react.dev/reference/renderToPipeableStream
16,https://react.dev/reference/react-dom/server/resume,2025-10-21 15:34:49,success,,resume,react-dom,JavaScript,,,,,,https://react.dev
12,https://react.dev/reference/react-dom/server/renderToPipeableStream,2025-10-21 15:34:47,success,,renderToPipeableStream,react-dom/server,JavaScript,,,renderToReadableStream,Behavior Change,React advises usage of Web Streams APIs like `renderToReadableStream` for environments such as Deno or modern edge runtimes due to broader compatibility with Web Streams.,https://react.dev/reference/react-dom/server/renderToPipeableStream
17,https://react.dev/reference/react-dom/server/resumeToPipeableStream,2025-10-21 15:34:50,success,,resumeToPipeableStream,react-dom@19.2,JavaScript,,,resume,API Deprecation,"The `resumeToPipeableStream` API, specific to Node.js streams, has largely been replaced by the more versatile `resume` API that supports environments with Web Streams, such as Deno and modern edge runtimes.",https://react.dev/docs/api-reference#resumetopipeablestream
19,https://react.dev/reference/react-dom/static/prerenderToNodeStream,2025-10-21 15:34:54,success,,prerenderToNodeStream,react-dom/static,JavaScript,,,,,,https://reactjs.org/docs/react-dom-server.html#prerendertonodestream
18,https://react.dev/reference/react-dom/static/prerender,2025-10-21 15:34:54,success,,prerender,react-dom,JavaScript/React,,,renderToReadableStream,Behavior Change,"The `prerender` API is designed for static site generation (SSG) to render a complete page after all data has loaded, unlike `renderToReadableStream`, which allows streaming content as it loads. Developers requiring streaming should use `renderToReadableStream` instead.",https://react.dev/reference/react-dom/static/prerender
23,https://react.dev/reference/react/addTransitionType,2025-10-21 15:34:57,success,,addTransitionType,react,JavaScript,,,,Performance Optimization,"Introduce the capability to associate specific 'transition types' during animations or UI updates, allowing developers to optimize and customize animations based on the causes of transitions.",https://reactjs.org/docs/release-channels
21,https://react.dev/reference/react-dom/static/resumeAndPrerenderToNodeStream,2025-10-21 15:34:56,success,,resumeAndPrerenderToNodeStream,react-dom,JavaScript,,,,,,https://reactjs.org/docs/react-dom-static.html
20,https://react.dev/reference/react-dom/static/resumeAndPrerender,2025-10-21 15:34:56,success,,resumeAndPrerender,react-dom/static,JavaScript,,,,,,https://react.dev/docs/reference-react-dom-static-resumeAndPrerender
22,https://react.dev/reference/react/act,2025-10-21 15:34:57,success,,act,react,JavaScript,19.x,Future versions (TBD),await act(async actFn),API Deprecation,"The synchronous version of act does not work consistently due to internal React scheduling, especially with async boundary-crossing code.",https://react.dev/api-reference/act
25,https://react.dev/reference/react/cacheSignal,2025-10-21 15:34:59,success,,cacheSignal,react,JavaScript,,,,Behavior Change,Introduction of the ability to interact with cache lifetimes and cancellation of in-flight requests during rendering in React Server Components. Future plans indicate potential expansion to include Client Components.,https://react.dev/ (official documentation)
24,https://react.dev/reference/react/cache,2025-10-21 15:34:58,success,,cache,react,JavaScript,,,,,,https://react.dev/reference/cache(fn)
26,https://react.dev/reference/react/captureOwnerStack,2025-10-21 15:35:04,success,,captureOwnerStack,react,JavaScript,,,,,,https://react.dev/docs/19.2/captureOwnerStack
27,https://react.dev/reference/react/createContext,2025-10-21 15:35:04,success,,createContext,react,JavaScript,,,useContext,API Deprecation,"Simplified usage and improved readability by introducing a dedicated hook, `useContext`, for accessing context.",https://react.dev/reference/createContext
28,https://react.dev/reference/react/lazy,2025-10-21 15:35:04,success,,lazy,react,JavaScript,,,,,,https://react.dev
30,https://react.dev/reference/react/startTransition,2025-10-21 15:35:05,success,,startTransition,react,JavaScript,,,,,,https://react.dev/reference/startTransition
29,https://react.dev/reference/react/memo,2025-10-21 15:35:05,success,,memo,react,JavaScript,,,React Compiler (automatic memoization),Performance Optimization,"React Compiler automatically applies memoization to components, making manual use of React.memo unnecessary.",https://reactjs.org/docs/react-api.html#memo
31,https://react.dev/reference/react/use,2025-10-21 15:35:05,success,,use,react,JavaScript,,,N/A (no replacement as it is an active API),,,https://reactjs.org/docs/react-api.html#use
33,https://react.dev/reference/react/experimental_taintUniqueValue,2025-10-21 15:35:07,success,,experimental_taintUniqueValue,react,JavaScript,,,,,,https://react.dev/docs/api-reference-experimental_taintUniqueValue
32,https://react.dev/reference/react/experimental_taintObjectReference,2025-10-21 15:35:06,success,,experimental_taintObjectReference,react,JavaScript,,,,,This API is experimental and is intended to prevent sensitive data objects from unintentionally being passed to Client Components.,https://reactjs.org/docs/experimental-api-reference.html
34,https://react.dev/reference/react/Fragment,2025-10-21 15:35:10,success,,addTransitionType,react,JavaScript,,,,Performance Optimization,Available only in the latest Canary version to enhance transition handling and improve performance in animations.,https://react.dev/docs/addTransitionType-canary
38,https://react.dev/reference/react/Activity,2025-10-21 15:35:12,success,,Activity,react,JavaScript,,,,Behavior Change,"Activity introduces new features allowing components to be hidden while maintaining their state and DOM, improving performance and user experience.",https://reactjs.org/docs
35,https://react.dev/reference/react/Profiler,2025-10-21 15:35:11,success,,<Profiler>,react,JavaScript,,,,,,https://reactjs.org/docs/profiler.html
36,https://react.dev/reference/react/StrictMode,2025-10-21 15:35:11,success,,<StrictMode>,react,JavaScript,,,,Behavior Change,"StrictMode introduces additional development-only checks to proactively identify common bugs during development, such as missing cleanup logic in effects, impure rendering, and deprecation warnings for certain APIs.",https://react.dev/docs/strict-mode
37,https://react.dev/reference/react/Suspense,2025-10-21 15:35:11,success,,Suspense,react,JavaScript,,,,Behavior Change,Enhancements to handle fallback scenarios and improve user experience during component suspension.,https://react.dev/reference/Suspense
40,https://react.dev/reference/react/useActionState,2025-10-21 15:35:13,success,,useFormState,react-dom,JavaScript,React Canary,N/A,useActionState,API Deprecation,Consolidation of APIs for modern forms usage and better alignment with React Server Components.,https://react.dev/docs/hooks-reference#useactionstate
41,https://react.dev/reference/react/useCallback,2025-10-21 15:35:13,success,,useCallback,react,JavaScript,,,React Compiler's automatic memoization,Performance Optimization,"React Compiler now automatically memoizes values and functions, reducing the need for manual `useCallback` calls.",https://react.dev/reference/useCallback
39,https://react.dev/reference/react/ViewTransition,2025-10-21 15:35:13,success,,ViewTransition,react,JavaScript,,,,Behavior Change,"Introduction of a robust animation API compatible with React's architecture, utilizing smoother cross-fades and supporting custom animations.",https://react.dev/docs/viewtransition
42,https://react.dev/reference/react/useContext,2025-10-21 15:35:17,success,,useContext,react,JavaScript,,,,,,https://react.dev/reference/react/useContext
43,https://react.dev/reference/react/useDebugValue,2025-10-21 15:35:18,success,,useDebugValue,react,JavaScript,,,,,,https://react.dev/reference/react/useDebugValue
46,https://react.dev/reference/react/useEffectEvent,2025-10-21 15:35:19,success,,useEffectEvent,react,JavaScript,,,,,,https://reactjs.org/docs/hooks-reference.html#useeffectevent
44,https://react.dev/reference/react/useDeferredValue,2025-10-21 15:35:18,success,,useDeferredValue,React,JavaScript,,,,Behavior Change,To optimize performance and make rendering responsive by allowing deferred updates for parts of the UI when needed.,https://react.dev/reference/usedeferredvalue
45,https://react.dev/reference/react/useEffect,2025-10-21 15:35:19,success,,useEffect,react,JavaScript,,,,,,https://react.dev/reference/usEffect
47,https://react.dev/reference/react/useId,2025-10-21 15:35:22,success,,useId,react,JavaScript,,,,,,https://react.dev/reference/useId
49,https://react.dev/reference/react/useInsertionEffect,2025-10-21 15:35:24,success,,useInsertionEffect,react,JavaScript,,,,,,https://react.dev/reference/react/useInsertionEffect
48,https://react.dev/reference/react/useImperativeHandle,2025-10-21 15:35:22,success,,useImperativeHandle,react,JavaScript,18,,,Parameter Change,"The `ref` parameter was updated in React 19 to be directly available as a prop, eliminating the need for `forwardRef` in its usage.",https://react.dev/reference#useimperativehandle
50,https://react.dev/reference/react/useLayoutEffect,2025-10-21 15:35:25,success,,useLayoutEffect,react,JavaScript,,,useEffect (in scenarios without layout-related measurements),Performance Optimization,useLayoutEffect can hurt performance as it blocks the browser from painting until the layout measurement logic finishes executing. Developers are encouraged to use useEffect when layout information is not needed before repaint.,https://react.dev/reference/react/useLayoutEffect
53,https://react.dev/reference/react/useReducer,2025-10-21 15:35:27,success,,useReducer,react,JavaScript,,,,,,https://reactjs.org/docs/hooks-reference.html#usereducer
52,https://react.dev/reference/react/useOptimistic,2025-10-21 15:35:27,success,,useOptimistic,react,JavaScript,,,,,,https://react.dev/docs/hooks-reference#useoptimistic
55,https://react.dev/reference/react/useState,2025-10-21 15:35:31,success,,useState,react,JavaScript,,,,,,https://react.dev/reference/usestate
54,https://react.dev/reference/react/useRef,2025-10-21 15:35:29,success,,useRef,react,JavaScript,,,,,,https://react.dev/docs/hooks-reference.html#useref
57,https://react.dev/reference/react/useTransition,2025-10-21 15:35:32,success,,useTransition,react,JavaScript,,,,,,https://react.dev/reference/useTransition
59,https://react.dev/reference/react-dom/components/common,2025-10-21 15:35:34,success,,onKeyPress,react,JavaScript,19.2,,onKeyDown or onBeforeInput,API Deprecation,onKeyPress is deprecated in favor of onKeyDown and onBeforeInput for better reliability and standardization across browsers.,https://react.dev
58,https://react.dev/reference/react-dom/hooks/useFormStatus,2025-10-21 15:35:33,success,,useFormStatus,react-dom,JavaScript,,,,,,https://reactjs.org/docs/hooks-reference.html#useformstatus
56,https://react.dev/reference/react/useSyncExternalStore,2025-10-21 15:35:32,success,,useSyncExternalStore,react,JavaScript,,,,,,https://reactjs.org/docs/hooks-reference.html#usesyncexternalstore
61,https://react.dev/reference/react-dom/components/input,2025-10-21 15:35:37,success,,useOptimistic,react,JavaScript,,,,Behavior Change,Introduced to provide better handling of optimistic UI updates in React components.,https://react.dev/docs/hooks-reference
60,https://react.dev/reference/react-dom/components/form,2025-10-21 15:35:36,success,,useActionState,react,JavaScript,,,,Behavior Change,"Provides a new way to handle and display errors from server functions in forms, offering better progress-enhancement and error handling during submission.",https://react.dev/docs/reference
62,https://react.dev/reference/react-dom/components/option,2025-10-21 15:35:39,success,,useOptimistic,react,JavaScript,,,,,,https://reactjs.org/docs/hooks-reference.html#useOptimistic
63,https://react.dev/reference/react-dom/components/progress,2025-10-21 15:35:40,success,,<progress>,react-dom,JavaScript,,,,Behavior Change,"Introduction of support for additional props (`max`, `value`) in the `<progress>` component to allow developers greater customization when displaying progress indicators.",https://react.dev/docs/react-dom-api
65,https://react.dev/reference/react-dom/components/textarea,2025-10-21 15:35:41,success,,experimental_taintObjectReference,react,JavaScript,,,,Behavior Change,This API is marked as experimental and only available in the Experimental version of React.,https://react.dev/docs/reference
64,https://react.dev/reference/react-dom/components/select,2025-10-21 15:35:40,success,,experimental_taintObjectReference,react,JavaScript,,,,API Introduction,This feature has been introduced in the Experimental version of React,https://reactjs.org/docs/react-api.html
66,https://react.dev/reference/react-dom/components/link,2025-10-21 15:35:41,success,,useEffectEvent,react,JavaScript,,,,New API,Provides a mechanism to define and use effects dependent on external events.,https://react.dev/reference/useEffectEvent
67,https://react.dev/reference/react-dom/components/meta,2025-10-21 15:35:44,success,,,,,,,,,,
68,https://react.dev/reference/react-dom/components/script,2025-10-21 15:35:44,success,,experimental_taintObjectReference,react,JavaScript,,,,New API Introduction,This feature is introduced to provide experimental capabilities in managing object references.,https://reactjs.org/docs/reference-react
70,https://react.dev/reference/react-dom/components/title,2025-10-21 15:35:46,success,,useOptimistic,react@19.2,JavaScript/React,,,,,,https://react.dev/apis/react@19.2#useOptimistic
69,https://react.dev/reference/react-dom/components/style,2025-10-21 15:35:45,success,,useOptimistic,react,JavaScript,,,,API Addition,"This API was added to enhance state management in React applications, supporting optimistic UI updates.",https://reactjs.org/docs/hooks-reference.html#useoptimistic
51,https://react.dev/reference/react/useMemo,2025-10-21 15:35:25,success,,useMemo,react,JavaScript,,,,Performance Optimization,"React Compiler automatically memoizes values and functions, thus reducing the need for manual calls to useMemo.",https://reactjs.org/docs/hooks-reference.html#usememo
